Species;Rhythm;Context
Baboon;2,26391327;Affiliative Grunt
Baboon;3,09259667;Affiliative Grunt
Baboon;3,80743311;Affiliative Grunt
Baboon;1,60082843;Affiliative Grunt
Baboon;2,51196905;Affiliative Grunt
Baboon;3,09259667;Affiliative Grunt
Baboon;3,09259667;Affiliative Grunt
Baboon;3,67773796;Affiliative Grunt
Baboon;2,69226177;Affiliative Grunt
Baboon;2,51196905;Affiliative Grunt
Baboon;1,346130885;Scream
Baboon;1,776230351;Scream
Baboon;2,040352883;Scream
Baboon;2,112305772;Scream
Baboon;1,657281518;Scream
Baboon;1,393602088;Scream
Baboon;1,093398037;Scream
Baboon;1,838868979;Scream
Baboon;1,393602088;Scream
Baboon;1,776230351;Scream
Baboon;1,903716554;Threat Grunt
Baboon;2,040352883;Threat Grunt
Baboon;2,511969053;Threat Grunt
Baboon;1,776230351;Threat Grunt
Baboon;2,186796074;Threat Grunt
Baboon;2,040352883;Threat Grunt
Baboon;2,69226177;Threat Grunt
Baboon;2,787204176;Threat Grunt
Baboon;2,34375;Threat Grunt
Baboon;1,493625735;Threat Grunt
Dog;6,629126074;Snarl
Dog;2,263913271;Bark
Dog;4,852804331;Whine
Dog;2,69226177;Whine
Dog;2,60055345;Bark
Dog;2,787204176;Bark
Dog;2,34375;Snarl
Dog;3,941701947;Snarl
Dog;2,60055345;Snarl
Dog;2,186796074;Bark
Dog;4,080705765;Bark
Dog;3,201656852;Snarl
Dog;1,838868979;Bark
Dog;2,60055345;Bark
Dog;1,715725425;Bark
Dog;1,776230351;Bark
Dog;1,715725425;Bark
Dog;2,186796074;Snarl
Dog;4,224611543;Snarl
Dog;1,903716554;Whine
Dog;2,112305772;Bark
Dog;3,552460703;Snarl
Dog;1,393602088;Bark
Dog;1,970850973;Bark
Dog;1,600828426;Whine
Dog;3,677737959;Bark
Dog;2,885494719;Bark
Dog;2,112305772;Growl
Dog;1,657281518;Bark
Dog;3,552460703;Snarl
Dog;1,657281518;Growl
Dog;3,092596666;Growl
Dog;1,903716554;Bark
Dog;1,600828426;Whine
Dog;1,493625735;Bark
Dog;1,493625735;Howl
Dog;1,903716554;Snarl
Dog;1,546298333;Whine
Dog;1,657281518;Howl
Dog;1,903716554;Bark
Dog;2,186796074;Bark
Dog;2,112305772;Snarl
Dog;2,511969053;Bark
Dog;2,885494719;Howl
Dog;2,885494719;Bark
Dog;1,493625735;Bark
Dog;2,186796074;Growl
Dog;1,171875;Growl
Dog;2,69226177;Bark
Dog;1,346130885;Bark
Dog;2,186796074;Bark
Dog;2,69226177;Howl
Dog;1,493625735;Bark
Dog;3,43145085;Growl
Dog;2,60055345;Bark
Dog;2,263913271;Bark
Dog;2,69226177;Howl
Dog;2,040352883;Bark
Dog;2,69226177;Bark
Dog;3,941701947;Whine
Dog;1,056152886;Snarl
Dog;3,677737959;Bark
Dog;2,112305772;Bark
Dog;2,34375;Howl
Dog;2,34375;Bark
Dog;1,546298333;Bark
Dog;4,224611543;Howl
Dog;2,34375;Howl
Dog;2,112305772;Bark
Dog;2,186796074;Bark
Dog;4,527826542;Snarl
Dog;2,98725147;Bark
Dog;1,776230351;Howl
Dog;0,951858277;Howl
Dog;1,056152886;Growl
Dog;1,838868979;Bark
Dog;1,171875;Growl
Dog;3,552460703;Howl
Dog;1,393602088;Bark
Dog;0,828640759;Bark
Dog;5,574408352;Whine
Dog;1,600828426;Whine
Dog;1,493625735;Growl
Dog;1,657281518;Bark
Dog;2,34375;Growl
Dog;0,951858277;Howl
Dog;1,213201083;Growl
Dog;1,213201083;Snarl
Dog;1,838868979;Bark
Dog;1,255984526;Whine
Dog;1,838868979;Whine
Dog;1,657281518;Whine
Dog;1,213201083;Bark
Dog;1,657281518;Bark
Dog;0,857862712;Bark
Dog;2,885494719;Bark
Dog;1,776230351;Whine
Dog;1,020176441;Growl
Dog;3,552460703;Howl
Dog;0,985425487;Whine
Dog;3,201656852;Howl
Dog;3,314563037;Howl
Dog;0,91943449;Howl
Dog;1,393602088;Whine
Dog;3,092596666;Howl
Dog;1,393602088;Bark
Dog;1,442747359;Whine
Dog;2,186796074;Bark
Dog;2,263913271;Howl
Dog;3,314563037;Howl
Dog;1,442747359;Bark
Dog;1,715725425;Howl
Dog;0,951858277;Growl
Dog;1,903716554;Bark
Dog;1,546298333;Growl
Dog;0,565978318;Howl
Dog;0,888115176;Howl
Dog;0,5859375;Howl
Dog;0,510088221;Snarl
Dog;1,838868979;Bark
Dog;0,627992263;Whine
Dog;1,255984526;Howl
Dog;0,546699018;Howl
Dog;0,606600541;Howl
Dog;0,985425487;Whine
Dog;0,91943449;Growl
Dog;0,746812868;Howl
Dog;1,493625735;Growl
Dog;0,459717245;Whine
Dog;0,510088221;Howl
Dog;1,838868979;Growl
Dog;0,459717245;Howl
Dog;2,186796074;Snarl
Dog;0,373406434;Growl
Dog;2,34375;Bark
Dog;1,300276725;Whine
Dog;0,386574583;Howl
Dog;1,213201083;Howl
Dog;0,606600541;Howl
Dog;1,020176441;Bark
Dog;2,98725147;Howl
Curlew;0,888115176;Alarm Call
Curlew;2,186796074;Alarm Call
Curlew;1,903716554;Alarm Call
Curlew;2,426402165;Alarm Call
Curlew;1,715725425;Alarm Call
Curlew;1,715725425;Alarm Call
Curlew;1,346130885;Alarm Call
Curlew;1,442747359;Alarm Call
Curlew;1,970850973;Flight Call
Curlew;1,838868979;Flight Call
Curlew;1,903716554;Flight Call
Curlew;1,657281518;Flight Call
Curlew;1,715725425;Flight Call
Curlew;2,263913271;Flight Call
Curlew;1,776230351;Flight Call
Curlew;1,776230351;Flight Call
Curlew;1,442747359;Song
Curlew;1,171875;Song
Curlew;1,300276725;Song
Curlew;1,657281518;Song
Curlew;1,546298333;Song
Curlew;1,393602088;Song
Curlew;1,093398037;Song
Curlew;1,493625735;Song
